"word","weight","pronunciation","verb","verbt","verbi","noun","adj","adv","prep","conj","sentence","looklike","homoionym","antonym"
"ritual","3638","/ˈrɪtʃuəl/","","","","典礼，（宗教等的）仪式；例行公事，老规矩","作为仪式一部分的，仪式的；例行的","","","","","Rachel","rite,procedural,ceremonious,formal,customary,rite,ceremony",""
"preliminary","188","/prɪˈlɪmɪnərɪ/","","","","初步做法，起始行为","开端的，预备的，初步的","","","","","primary,precautionary","beforehand,in advance","final"
"jerk","4714","/dʒɜːk/","使猝然一动；猛拉","","","急推，急扭；抽搐","","","","","","joke","bastard,asshole,pull,tug,jolt,bump",""
"sponge","308","/spʌndʒ/","用湿海绵（或布）擦，揩","","","海绵","","","","","","spouse","foam,loofa,clean,wipe",""
"mount","11575","/maunt/","登上；骑上；发起；镶嵌","","","山，山峰；支架，底座","","","","","","","",""
"cap","2477","/kæp/","","盖在……上面","","帽子","","","","","","cup,cop,tap","lid,ceiling,cover,top,stop","bottom"
"pressure","2846","/ˈpreʃə(r)/","","对……施加压力（或影响）；迫使，说服","","压力，压强；强制，压迫","","","","","","precious","force,weight,vurden,compression,stress,tension",""
"heap","1449","/hiːp/","","（使）成堆","","（一）堆；大量","","","","","","hip","pile,mound,mass,bundle",""
"frame","7742","/freɪm/","","给……镶框","","框架","","","","","","fame,flame","framework,outline,structure,border,layout",""
"foster","6728","/ˈfɔstə(r)/","培养，培育（某物）；鼓励，促进；领养","","","","收养","","","","","forest","nurture,look after,substitute","abandon,forsake"
"leap","8966","/liːp/","跳；冲","","","跳跃；激增","","","","","","lip","soar,fly,jump,hurdle,bounce,hop",""
"underneath","90","/ˏʌndəˈniːθ/","","","","下部","","在下面","在……下面","","","","beneath,below,under,bottom,foundation","above,top,upward"
"alternative","14204","/ɔːlˈtɜːnətɪv/","","","","可供选择的事物","可供替代的；非传统的，另类的","","","","","ultimate","another,replacement,substitute,change,option","conventional,regular,standard,mainstream"
"access","7524","/ˈækses/","","进入；使用","","通道，入径；机会；权利","","","","","","axis,assess","get into,entrance,entry,approach,enter,insert",""
"claim","31046","/kleɪm/","要求；声称，主张；索赔","","","要求；主张，断言；索赔","","","","","","acclaim,clam","assert,say,assertion,statement,allege","disclaim"
"tan","882","/tæn/","（使）晒成棕褐色，晒黑；硝（皮）","","","棕褐色；晒黑","","","","","","ton","brown,sunburnt,suntan,colour","pale"
"guinea","0","/ˈgɪnɪ/","","","","几尼（英国的旧货币单位，现值1.05镑）","","","","","","Gini","Republic of Guinea",""
"cable","645","/ˈkeɪbl/","（给……）发电报","","","缆绳；电缆；电报","","","","","","capable","wire,chain",""
"wedge","1925","/wedʒ/","","楔入","","楔子，楔形","","","","","","wage","lodge,fix,jam,cram,segment,block,chock",""
"cast","1660","/kɑːst/","投射（光、视线等）；把……加于；投，扔；丢弃，剔除；脱落，蜕（皮）；浇铸，铸造","","","演员表，全体演员；石膏绷带；铸模，铸件；外貌，特征","","","","","","cost","actors,throw,hurl,produce,generate,mould",""
"uniform","3851","/ˈjuːnɪfɔːm/","","","","制服","相同的；一致的","","","","","uninformed","costume,cloth,consistent,identical","different,inconsistent"
"hiccup","111","/ˈhɪkʌp/","","","打嗝","嗝，呃逆；暂时（或小的）困难（或挫折）","","","","","","hike","belch,hitch,glitch,interruption",""
"tease","363","/tiːz/","逗乐，奚乐，戏弄；强求","","","挪揄，戏弄，取笑；逗弄者，取笑者","","","","","","tedious","joke,laugh,mock,teaser,mocker",""
"contact","15858","/ˈkɔntækt/","","与……取得联系，联络","","接触；联系","","","","","","contract","touch,connect,call,communicate,mail","intact"
"contrary","779","/ˈkɔntrərɪ/","","","","相反","相反的","","","","","country","opposite,inverse,converse,reverse,conflict,opposing","obedient,submissive,compliant,compativle"
"alert","1699","/əˈlɜːt/","","警告","","警戒；警报","警惕的","","","","","assert","warn,notify,watchful,attentive,alarm,siren","careless,distract,reckless"
"shift","16423","/ʃɪft/","移动，转移；改变，转变","","","转换，转变；轮（或换）班","","","","","","shaft","move,change,transfer,alter,modify","constant"
"monitor","12423","/ˈmɔnɪtə(r)/","","监视；监测","","班长；监视器","","","","","","monument","display,inspector,screen,check,censor,examine,observe",""
"sketch","2595","/sketʃ/","画素描；概述","","","素描；速写","","","","","","scratch","draw,outline,draft,plan,rough,brief,summary",""
"lag","1311","/læg/","走得慢；落后","","","（时间上的）间隔；滞后","","","","","","leg","delay,postpone,defer,retard,slow","fast,speed"
"trigger","5120","/ˈtrɪgə(r)/","","引发，导致","","扳机","","","","","","trick,intrigue","activate,set off,cause,generate,start,detonate","halt"
"supply","14344","/səˈplaɪ/","","供给，供应；满足（需要），弥补（不足）","","供给，供应（量）；存货，必需品","","","","","","surplus","provide,bring,give,source,accommodate,raise,support","receive"
"interest","2478","/ˈɪntrəst/","","使感兴趣","","兴趣；利息；利益","","","","","","increase","attract,draw,appeal,fascinate,attention,notice,amuse,fun",""
"arable","302","/ˈærəbl/","","","","耕地","可耕作的","","","","","Arabic,album","farmable,cultivable","uncultivated,wastland"
"split","2778","/splɪt/","（使）分裂，分享；（被）撕裂，裂开；劈开；分担，分享","","","裂口；分化，分裂","","","","","","slit,splint,spit","tear,division,divide,riven,cleft","reunion,join,united,undivided"
"manoeuvre","34","/məˈnuːvə(r)/","移动，转动；操纵，控制","","","移动；策略，手段","","","","","","manual,manure","manipulate,contrive,control,rehearsal",""
"pumice","181","/ˈpʌmɪs/","","用浮岩磨","","浮石，浮岩","","","","","","promise","floatstone",""
"harbour","58","/ˈhɑːbə(r)/","停泊；隐匿","","","港湾","","","","","","hover,harbor","port,dock,haven,shelter",""
"hybrid","3216","/ˈhaɪbrɪd/","","","","杂交生成的生物体，杂交植物（或动物）；杂种，混血儿；混合物，合成物","杂交产生的；混合的，合成的","","","","","highbred","mix,crossbreed","purebred,pure"
"mate","1344","/meɪt/","交配，配种","","","配偶；伙伴；（商船上的）大副","","","","","","made,maid","assistant,buddy,colleague,coworker,couple,check","rival, enemy,competitor"
"mass","562","/mæs/","聚焦","","","团，众多；群众，民众","大量的","","","","","mess","quantity,block,public,gether,assemble",""
"bypass","2515","/ˈbaɪpɑːs/","","绕过","","（绕过市镇的）旁道","","","","","","by-path","detour,diversion,avoid,evade",""
"load","11744","/ləud/","装载；装（胶卷、弹药等）","","","负荷；装载","","","","","","loud","fill,pck,insert,burden,weight,shipment,charge","unload,eject,discharge,dump,relief"
"bubble","1636","/ˈbʌbl/","","","冒泡，起泡；发出冒泡的声音","泡，泡沫；气泡；幻想的计划","","","","","","Bible","foam",""
"sample","4639","/ˈsɑːmpl/","","从……抽样，采样；品尝","","样品，样本","","","","","","simple","example,specimen,trial,test",""
"gang","436","/gæŋ/","结成一伙","","","一帮","","","","","","gun","mob,band,criminal,gangster,mafia",""
"string","2535","/strɪŋ/","","（用绳等）缚；扎；挂；（用线）串起；使排成一列","","线；弦；细绳；一串","","","","","","sting","cord,thread,rope,lace",""
"litter","2329","/ˈlɪtə(r)/","使乱七八糟；乱扔","","","废弃物，垃圾；一窝幼崽","","","","","","later,letter,liquor","waste,trash,rubbish,garbage,junk,threw,scatter",""
"mushroom","485","/ˈmʌʃrum/","","","迅速成长（或发展）","蘑菇","","","","","","martial,marshal","fungi,fungus,grow","decline"
"elite","1106","/eɪˈliːt/","","","","精英，中坚","卓越的，精锐的","","","","","alien","best,lead,top,chosen","crowd"
"award","8257","/əˈwɔːd/","","授予；给予","","奖；评判；授予","","","","","","upward,reward","reward,honour,honor,gift,prize,grand,confer",""
"intent","2541","/ɪnˈtent/","","","","意图，意向，目的","专心的，专注的；急切的","","","","","intend","focused,concentrated,inclined,intention,aim,target,objective,purpose","accidental,unintentional"
"challenge","22324","/ˈtʃælɪndʒ/","","挑战；质疑","","挑战；质疑；艰巨任务，难题","","","","","","college","defy,confront,contest,encounter","obedience,compliance,obey,submit"
"dazzle","1181","/ˈdæzl/","使目眩；使倾倒","","","耀眼眩目；令人眼花缭乱的东西","","","","","","diesel","daze,confuse,overwhelm,blaze,dizzy","bore"
"bounce","1264","/ˈbauns/","弹起，反弹；（使）上下晃动","","","弹跳；反弹力；活力，精力","","","","","","bonus,bound","rebound,spring,elasticity",""
"characteristic","3056","/ˏkærəktəˈrɪstɪk/","","","","特性；特征","特有的；典型的","","","","","capitalistic","trait,feature,quality,attribute,typical,distinctive,identity,personality","uncharacteristic"
"strip","7521","/strɪp/","剥夺；夺去，使空无一物；拆卸，拆开","","","带状物；条纹；狭长地带，带状水域","","","","","","stripe","band,sliver,shred,ribbon,undress,deprive","dress"
"exhaust","2112","/ɪgˈzɔːst/","使非常疲倦，使疲惫不堪；用尽，耗尽","","","（机器排出的）废气，蒸汽","","","","","","exist","tire,fatigue,tailpipe","refresh,energetic,dynamic,vibrant"
"lobby","4411","/ˈlɔbɪ/","游说","","","大厅；游说团","","","","","","larvae","hallway,hall,foyer,canvassing,persuasion",""
"lease","2873","/liːs/","","出租，租用","","租约","","","","","","least","rent,hire,charter",""
"compromise","5824","/ˈkɔmprəmaɪz/","妥协，放弃（原则、理想等）；危及","","","妥协，折中办法","","","","","","comprise","concede,give in,yield,concession","uncompromising,confront,counter"
"essential","1262","/ɪˈsenʃl/","","","","要素；实质，本质；要点","本质的，基本的；必要的，必不可少的；极其重要的","","","","","ascension","necessary,vital,indispensable,important,fundamental","unnecessary,alternative,substitution"
"loop","1316","/luːp/","（使）成环，（使）成圈；成环形运动","","","圈环；环状物；环路；循环","","","","","","loaf","ring,circle,encircle,surroud",""
"premier","667","/ˈpremɪə(r)/","","","","总理；首相","首要的，第一位的；最著名的","","","","","premiere,premium","prime minister,leader,best,first","worst,last"
"pack","14523","/pæk/","（把……）打包，收拾（行李）；包装，包裹；塞满","","","包","","","","","","pact,pike","package,wrap,encase,bag","unpack"
"audit","1137","/ˈɔːdɪt/","","审计，查账；旁听","","审计，查账","","","","","","audio,audition","appraise,assess,examine,inspect,appraisal,assessment,check,examination,inspection",""
"spiral","1939","/ˈspaɪərəl/","盘旋上升（或下降）","","","","螺旋形的，盘旋的","","","","","sparrow,special","increase,fly,helix,screw,coil",""
"scout","2498","/ˈskaut/","侦察；寻找；搜索","","","侦察员（或机、舰）；童子军","","","","","","tout","spy,watch,detective,search,detect",""
"stack","6373","/stæk/","把……叠成堆，堆放于；堆积，堆起","","","整齐的一叠（或一堆）","","","","","","stick,stock","pile,heap,bunch",""
"squeeze","1454","/skwiːz/","压榨，榨取；捏，挤压；挤入，挤过；向……勒索","","","挤压，捏；紧缺，拮据，经济困难；减少，削减","","","","","","squid","press,fit in,extract,congestion","release,free"
"post-mortem","430","/ˏpəustˈmɔːtəm/","","","","检尸，尸体解剖；事后反思（或剖析）","事后的","","","","","postmodern","post analysis","prior,in advance,beforehand"
"blunt","401","/blʌnt/","","把……弄钝；使减弱","","","钝的；率直的","","","","","blond,bland","dull,diminish,direct,frank,straightforward","sharp,indirect"
"switch","7313","/swɪtʃ/","（使）改变，转变；转换；对调","","","开关；转换","","","","","","witch,stitch","control,button,change,shift",""
"steady","406","/ˈstedɪ/","（使）稳定，（使）平稳；（使）镇定","","","","稳步的；稳定的","","","","","study","stable,fix,support,strengthen","volatile,unstable,unsteady,uncertainty"
"glimpse","2106","/glɪmps/","","瞥见","","一瞥，一看","","","","","","blimp,gleam","glance,blink,peek","stare"
"invoice","703","/ˈɪnvɔɪs/","","给……开发票","","发票","","","","","","inventory","bill,receipt,inventory",""
"extra","1507","/ˈekstrə/","","","","","额外的；特别的","额外地，另外；特别地","","","","actress","more,additional,further,excessive","limited,shortage,lack,deficiency"
"cover","24457","/ˈkʌvə(r)/","","盖，覆盖；包含，包括；走过（一段路）；适用于；报道，采访；给……上保险，足够支付；用枪掩护","","盖子，套子；封面；掩蔽（物），掩护（物）","","","","","","covert","conceal,shield,protect,include,shell","expose,reveal"
"concrete","4332","/ˈkɔŋkriːt/","","","","混凝土","混凝土制的；确实的，具体的；有形的，实在的","","","","","congregate","cement,certain,definite,actual,solid,compact","loose,incompact"
"clot","598","/klɔt/","凝结成块","","","（血液）凝块","","","","","","clod","mud,clay,block,condense,fool,stupid",""
"pasture","62","/ˈpɑːstʃə(r)/","","放牧","","牧场，草原","","","","","","posture","meadow,ranch,grassland,prairie",""
"plough","145","/plau/","耕地；开（路）；破（浪）","","","犁","","","","","","plow","plow,cultivate,till",""
"scrub","1688","/skrʌb/","用力擦洗，把……擦净；取消（计划等）","","","矮树丛，灌木丛","","","","","","crumb","brush,cleanse,wipe",""
"thermal","2923","/ˈθɜːml/","","","","热气流","热的，热量的","","","","","terminal","warm,current,hot","cool,cold,chilly"
"minimum","6316","/ˈmɪnɪməm/","","","","最小值，最低限度","最低的，最小的","","","","","minimal","smallest,least,lowest,minimal","maximum"
"output","272","/ˈautput/","","输出","","产量；输出量；输出功率","","","","","","octopus","export,production,generate","input"
"select","3327","/sɪˈlekt/","选择，挑选","","","","精选的，优等的","","","","","slack","choose,pick",""
"slice","8362","/slaɪs/","把……切成片，削","","","薄片，切片；份，部分","","","","","","solicit","cut,divide,piece,sliver,segment",""
"pepper","833","/ˈpepə(r)/","","在……上撒（胡椒粉等）","","胡椒（粉）","","","","","","piper","chilli",""
"groan","1355","/grəun/","","","呻吟；叹息","呻吟声，叹息声","","","","","","grown","moan",""
"appeal","11586","/əˈpiːl/","","","呼吁；起诉，上诉；吸引","上诉，申诉；呼吁；感染力，吸引力","","","","","","appear,peal","request,ask,plead,urge,petition,plea,apply",""
"caution","3642","/ˈkɔːʃn/","提醒，警告","","","谨慎，小心","","","","","","cushion,cautious","attention,warn,notify",""
"average","8687","/ˈævərɪdʒ/","平均达到；平均为","","","平均（数）","平均的；平常的，普通的","","","","","beverage,leverage","mean,median,normal,regular,usual,typical,ordinary","irregular,unusual,extraordinary"
"burst","346","/bɜːst/","（使）爆炸；突然发作；破裂","","","爆炸","","","","","","boost","spurt,erupt,gush,explode,gust",""
"transit","269","/ˈtrænsɪt;ˈtrænzɪt/","通过，经过；中转","","","运输，运载","","","","","","translate,transmit","transportation,shipment,transfer,transport,passage,convey",""
"launch","5485","/lɔːntʃ/","","将……投放市场；开始从事，发动，发起；发射","","发射；（产品）上市","","","","","","lunch,lounge","start,fire,send",""
"form","47886","/fɔːm/","（使）形成，（使）出现","","","形式；外形；表格","","","","","","foam,farm","table,excel,sheet,shape,figure",""
"figure","80211","/ˈfɪgə(r)/","是重要部分；认为；计算，估计","","","数字；人物；体态，体形；轮廓；（插）图，图表；雕像，塑像","","","","","","feature","feature,appear,shape,form,number",""
"multiple","1868","/ˈmʌltɪpl/","","","","倍数","多重的；多样的","","","","","multiply","manifold,many,various","singular"
"bloom","2690","/bluːm/","（使）开花","","","花；开花（期）；青春焕发（的时期）","","","","","","blossom,balloon","thrive,prosper,glow,flourish","wither,fade,perish,wilt"
"trick","2391","/trɪk/","","欺诈，哄骗","","诡计，花招","","","","","","trek","fake,false,deceive,juggle",""
"academic","3904","/ˏækəˈdemɪk/","","","","学者；大学教师","学院的；学术的；不切实际的","","","","","epidemic,academia","scholarship,science,educational,intellectual","practical"
"alarm","2364","/əˈlɑːm/","","使惊恐；使担心","","惊恐，恐慌；报警器；闹钟；警报","","","","","","alumnus","alert,clock",""
"beam","3269","/biːm/","面露喜色；发射电波，播送","","","（光线等的）束；梁；笑容，喜色","","","","","","bean","girder,rafter,sunbeam,smile,grin,shine",""
"hike","6652","/haɪk/","徒步旅行；提高（价格等）","","","远足，徒步旅行；猛增","","","","","","hack","excursion,walk",""
"chorus","92","/ˈkɔːrəs/","齐声说","","","合唱，合唱曲；合唱队；副歌，叠句；齐声，齐声说的话（或发出的喊声）","","","","","","corpus","choir",""
"scent","589","/sent/","","嗅到；察觉","","香味；气味","","","","","","sent,cent","smell,odour,odor,fragrance,perfume,flavour","stink"
"swivel","454","/ˈswɪvl/","旋转","","","转环，转节","","","","","","survival","spin,rotate,revolve,pivot,turn",""
"mantle","35","/ˈmntl/","","用斗篷盖；覆盖","","披风，斗篷；覆盖物；（煤气灯）纱罩；[解]外层；包膜；外表；（水库的）槽；[地]地幔","","","","","","mental","blanket,cover,shroud,cape,cloak,layer",""
"swing","15302","/swɪŋ/","摇摆；（使）突然转向","","","摇摆；秋千","","","","","","swirl,sling","sway,hang,swill",""
"trend","173","/trend/","","","伸向；倾向","倾向；趋势；流行，时尚","","","","","","tend","tendency,current,drift,inclination",""
"extreme","2634","/ɪkˈstriːm/","","","","极端，过分","极度的；最后的","","","","","stream","ultra,exceeding,super,highly,radical","moderate,mild,regular,average"
"military","10271","/ˈmɪlɪtrɪ/","","","","[the~]军队","军事的","","","","","monetary","martial","civil,civilian"
"poison","2708","/ˈpɔɪzn/","","毒害","","毒，毒药","","","","","","prison","kill,murder,harm,venom,toxin,contagion,toxic",""
"maximum","8635","/ˈmæksɪməm/","","","","最大量，极限","最大的，最高的","","","","","maximal,maxim","supreme,extreme,limit,ceiling,upper,utmost","minimum"
"focus","29453","/ˈfəukəs/","（使）聚焦，（使）集中","","","焦点，焦距；（注意力、活动等的）中心","","","","","","folk,fecal,fetal","aim,target,concentrate,converge","distract"
"dairy","4239","/ˈdeərɪ/","","","","奶制品；乳品店","乳制品的","","","","","diary","milk",""
"hinge","1026","/hɪndʒ/","依……而定","","","合叶；铰链","","","","","","hint","link,pivot,axis,joint",""
"stain","2805","/steɪn/","","染污；给……着色","","污点","","","","","","strain","dot,spot,speckle,mark,blemish,dirty,contaminate","clean,honour,decontaminate"
"trial","46","/ˈtraɪəl/","","","","审讯；试验","试验性的","","","","","trail","test,pilot,experiment,court,judge",""
"paramount","1820","/ˈpærəmaunt/","","","","最高统治者","最重要的，决定性的","","","","","parliament,pyramid","supreme,utmost,dominant,chief,principal","inessential,minor,trivial,insignificant"
"apart","5617","/əˈpɑːt/","","","","","分离的","相间隔；分离；除去","","","","part","separately,respectively","together"
"flush","371","/flʌʃ/","冲洗，清除；（使）发红；（使）脸红；奔流","","","脸红，红光","齐平的，同高的","","","","","flourish,flash,blush","rinse,blush,clear,wash,redden",""
"demand","32665","/dɪˈmɑːnd/","需求；需要；询问","","","要求；需求（量）","","","","","","diamond","request,claim,requirement,ask,inquire","reply,response,answer"
"tag","3657","/tæg/","跟随；给……加标签；添加","","","标签；附加语","","","","","","tug","mark,label,identify,tab,code,name",""
"wrinkle","1064","/ˈrɪŋkl/","（使）起皱纹","","","皱纹","","","","","","weaken","screw,crumple,fold,crease,tuck","smooth,sleek,slick,even"
"huddle","725","/ˈhʌdl/","","","聚焦在一起","杂乱的一堆；拥挤","","","","","","handle,hustle","group,cluster,crowd,gather,bunch","scatter,disperse"
"clash","1713","/klæʃ/","发生冲突；不协调；砰地相撞，发出刺耳的撞击声","","","冲突；不协调；（金属等的）刺耳的撞击声","","","","","","crash,cash,clutch","fight,argument,conflict,smash,rattle,battle,collision","agree,match,agreement"
"moral","1940","/ˈmɔrəl/","","","","品行，道德；寓意，教训","道德的，伦理的","","","","","moron,mortal,morale","ethical,morale","immoral"
"crusade","280","/kruːˈseɪd/","加入十字军，投身正义运动","","","十字军（远征）；斗争，运动","","","","","","crude,cruise","campaign,struggle,exert,movement,fight,war,action,army",""
"taunt","477","/tɔːnt/","","嘲笑，讥笑","","嘲弄的言语，讥讽","","","","","","daunt,tout","mock,tease,sneer,ridicule","compliment,praise,acclaim,commend"
"sanction","2272","/ˈsæŋkʃn/","批准，认可","","","批准，认可；约束因素，约束力；国际制裁","","","","","","section","authorization,permission,support,permit,approve,allow,punish,penalty",""
"exhibit","10132","/ɪgˈzɪbɪt/","陈列，展览；显示","","","展览品","","","","","","inhibit","show,display,demonstrate",""
"shelter","2197","/ˈʃeltə(r)/","掩蔽；躲避","","","掩蔽（处），隐蔽（处）；住所；保护","","","","","","shatter","haven,sanctuary,protection,refuge,harbor",""
"stock","50","/stɔk/","储备","","","储备品；股票；家畜","常备的","","","","","stark,stack,stuck","keep,share,supply,stash,livestock",""
"hollow","452","/ˈhɔləu/","挖空，凿空","","","","空的，空洞的；（声音）沉闷的；虚伪的，空虚的","","","","","hello,horror","cavity,recess,valley,crater,excavate,dig,tunnel","bulge,hump,solid,convex"
"bark","3201","/bɑːk/","","","吠叫","犬吠声；树皮","","","","","","buck,dark","rind,woof,yelp",""
"burrow","939","/ˈbʌrəu/","挖掘，钻进；翻寻","","","地洞","","","","","","borrow","dig,excavate,channel,tunnel,investigate,hole",""
"equivalent","4614","/ɪˈkwɪvələnt/","","","","相等物，等价物","相等的，等量的","","","","","equipment","tounterpart,equal,parallel,same,correspondent,alike,comparable","different,inequality"
"fatigue","433","/fəˈtiːg/","（使）疲劳","","","疲劳，劳累","","","","","","fugitive","exhaustion,tiredness","energy,vigour"
"flavour","0","/ˈfleɪvə(r)/","","给……调味","","风味，滋味","","","","","","flour","sense,taste,savor,season",""
"negative","1684","/ˈnegətɪv/","","","","负数；（照相的）底片","否定的，反面的；消极的；负的，阴性的","","","","","narrative","no,deny","affirmative"
"handle","7735","/ˈhændl/","处理；操作，操纵；触，抚摸","","","手柄，把手","","","","","","huddle","grip,knob,holder,deal,control,manage",""
"intellectual","6061","/ˏɪntɪˈlektʃuəl/","","","","知识分子","智力的；理智的","","","","","intersection","intelligent,knowledgeable,academic,rational,scholar","ignorant,illiteral"
"centennial","1453","/senˈtenɪəl/","","","","百年纪念","一百年的","","","","","spontaneous","century,hundred years",""
"mediterranean","2643","/ˏmedɪtəˈreɪnɪən/","","","","地中海","地中海（式）的","","","","","medittation","Aegean Sea",""
"discipline","1437","/ˈdɪsɪplɪn/","","训练，训导","","学科；纪律；处分","","","","","","displant,display","regulation,self-control,self-restraint,train,punish",""
"function","10262","/ˈfʌŋkʃn/","","","运行，起作用","功能；职责，作用；函数","","","","","","faction","work,perform,operate","malfunction"
"complete","35373","/kəmˈpliːt/","","完成；结束","","","彻底的；完成的；绝对的","","","","","compete,compilation,complicate","finish,finalize,accomplish,whole,entire","incomplete,unfinished,partial,fragmentary"
"kit","75","/kɪt/","装备","","","成套工具","","","","","","kid","tool,equipment,suite",""
"stretch","9041","/stretʃ/","伸展；延伸，延续，拉长；使倾注全力，使紧张","","","一段（时间、路径）；伸展，延伸，延续","","","","","","sketch,scratch","expand,spread,elongate,extend",""
"transient","186","/ˈtrænzɪənt/","","","","在某地短暂停留或工作的人","短暂的，转瞬即逝的","","","","","transit,transcend","fast,fujitive,temporary,ephemeral","long,permanent,eternal,everlasting"
"constituent","82","/kənˈstɪtjuənt/","","","","成分，要素；选区内的选民","组成的；有宪法制定或修改权的","","","","","constitute,institute","voter,component,fundamental,composition,ingredient",""
"stress","11711","/stres/","","强调；重读","","压力；重音；强调，重点，着重","","","","","","stretch,dress","pressure,strain,anxiety,tension,emphasize",""
"confine","4659","/kənˈfaɪn/","","限制，仅限于；管制，禁闭","","界限，范围","","","","","","coffin,confess","restrain,restrict,limit,arrest,detention","release"
"chain","1249","/tʃeɪn/","","用链条拴住","","链，链条；一连串，一系列；枷锁，镣铐；联号，连锁店","","","","","","train","cable,string,lock",""
"senior","7600","/ˈsiːnɪə(r)/","","","","较年长者；（中学或大学的）毕业班学生","资格较老的；年长的","","","","","seminar","elderly,superior,supervisor","junior"
"highlight","4669","/ˈhaɪlaɪt/","","强调，突出；以强烈光线照射；集中注意力于","","最精彩的部分，最重要的事件","","","","","","highland","enphasize,underline,stress",""
"medium","10059","/ˈmiːdɪəm/","","","","媒质，媒介；工具，手段；（细菌等的）生存环境","中等的；平均的","","","","","","",""
"detail","3834","/ˈdiːteɪl/","","详述，详细说明","","细节，详情；枝节，琐事","","","","","","","",""
"link","17236","/lɪŋk/","连接，联系","","","环节；联系，纽带","","","","","","","",""
"array","674","/əˈreɪ/","","部署","","陈列；大批","","","","","","","",""
"remain","98934","/rɪˈmeɪn/","保持；仍旧是；剩下","","","残余；遗迹；残骸，遗体","","","","","","","",""
"cash","2823","/kæʃ/","","把……兑现","","现金，现款","","","","","","","",""
"remedy","1586","/ˈremədɪ/","","治疗；补救","","药品；治疗法；补救","","","","","","","",""
"slumber","267","/ˈslʌmbə(r)/","睡眠（尤指睡得安稳而舒服），安睡","","","睡眠，安睡","","","","","","","",""
"pilot","1401","/ˈpaɪlət/","","驾驶，为……引航","","飞行员，引航员","","","","","","","",""
"advance","253","/ədˈvɑːns/","前进，向前移动；取得进展；预付","","","前进，前移；增长，提高；预付（款等）","预先的；先行的","","","","","","",""
"fare","2996","/feə(r)/","","","进展","费，票价","","","","","","","",""
"principal","9748","/ˈprɪnsəpl/","","","","校长；资本；主角","主要的","","","","","","",""
"scan","7556","/skæn/","扫描；浏览","","","扫描","","","","","","","",""
"shell","2600","/ʃel/","给……去壳；炮击","","","壳；炮弹","","","","","","","",""
"joint","140","/dʒɔɪnt/","","","","接头；关节","连接的；联合的","","","","","","",""
"spray","6696","/spreɪ/","喷射；（使）溅洒","","","浪花；喷雾；飞沫","","","","","","","",""
"force","48531","/fɔːs/","","强迫","","军队；力气；影响力","","","","","","","",""
"deposit","3123","/dɪˈpɔzɪt/","存放；储蓄；使沉淀；付（保证金）","","","存款；保证金，押金；沉积物","","","","","","","",""
"professional","14795","/prəˈfeʃənl/","","","","自由职业者；专业人员","职业的；专业的","","","","","","",""
"ape","113","/eɪp/","","模仿","","猿","","","","","","","",""
"gauge","1117","/geɪdʒ/","","测量，度量","","测量仪表；规格，标准；计量器","","","","","","","",""
"cosmopolitan","528","/ˏkɔzməˈpɔlɪtən/","","","","世界主义者；四海为家者","世界性的，全球的","","","","","","",""
"motion","1885","/ˈməuʃn/","（向……）打手势","","","运动；手势","","","","","","","",""
"understanding","183","/ˏʌndəˈstændɪŋ/","","","","理解；谅解","体谅的；宽容的","","","","","","",""
"temper","1619","/ˈtempə(r)/","","使缓和","","情绪","","","","","","","",""
"impress","10740","/ɪmˈpres/","","给……留下深刻印象，使铭记；印，压印","","印记","","","","","","","",""
"grind","858","/graɪnd/","磨（碎），碾；折磨","","","<口>苦差事","","","","","","","",""
"tense","373","/tens/","（使）拉紧","","","","拉紧的","","","","","","",""
"bar","5034","/bɑː(r)/","","闩（门、窗等）；阻拦","","酒吧；栅栏；棒，条状物","","","","","","","",""
"probe","3269","/prəub/","探索，查究；（用探针或探测器等）探查，探测","","","探针；探测器，探测飞船；探索，调查","","","","","","","",""
"panic","3124","/ˈpænɪk/","（使）惊惶失措","","","恐慌，惊惶","恐慌的","","","","","","",""
"amateur","2577","/ˈæmətə(r)/","","","","外行；业余爱好者","业余的","","","","","","",""
"caustic","447","/ˈkɔːstɪk/","","","","腐蚀剂","腐蚀性的；（指评论）讽刺的，挖苦的","","","","","","",""
"detergent","1100","/dɪˈtɜːdʒənt/","","","","清洁剂","净化的，清洁的","","","","","","",""
"trench","39","/trentʃ/","挖沟","","","沟，壕沟","","","","","","","",""
"chemical","13449","/ˈkemɪkl/","","","","化学制品","化学的","","","","","","",""
"glue","2906","/gluː/","","胶合，张贴","","胶水","","","","","","","",""
"brood","643","/bruːd/","深思；孵蛋","","","（雏鸡等）一窝","","","","","","","",""
"host","21773","/həust/","主办；招待","","","主人；东道主；主办方；大量，许多","","","","","","","",""
"foul","1303","/faul/","","","","犯规","发臭的；肮脏的；邪恶的","","","","","","",""
"budget","1261","/ˈbʌdʒɪt/","做预算","","","预算，预算经费","","","","","","","",""
"clamp","874","/klæmp/","（用夹具等）夹紧","","","夹钳","","","","","","","",""
"requisite","310","/ˈrekwɪzɪt/","","","","必需品；要素","（情况）需要的；（成功）必要的","","","","","","",""
"reel","2241","/riːl/","摇摇晃晃地移动，蹒跚；眩晕，发昏；卷，绕","","","卷轴，卷筒，卷盘，线轴","","","","","","","",""
"churn","506","/tʃɜːn/","用搅乳器搅拌；剧烈搅动；猛烈翻滚；反胃，恶心","","","（制作黄油用的）搅乳器；","","","","","","","",""
